model,model_role,model_description,group,label,metric,estimate,ci_low,ci_high,unit,small_sample_warning
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,hba1c_pos,sensitivity,0.6720888219,0.5480409812,0.8096655428,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,hba1c_pos,sensitivity,0.8971375071,0.8143638281,0.9874082154,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,hba1c_pos,sensitivity,0.7819240182,0.6826126774,0.8845620189,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,hba1c_pos,sensitivity,0.8891123693,0.8227190157,0.9662267179,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,hba1c_pos,sensitivity,0.8647953738,0.7685919149,1,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,hba1c_pos,sensitivity,0.8878099041,0.7632642609,0.9547362749,proportion,SMALL SAMPLE
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,diagnosed,specificity,0.5914671309,0.568870236,0.6167237551,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,diagnosed,specificity,0.7567724,0.6918174997,0.8141432324,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,diagnosed,specificity,0.673166641,0.6190582535,0.7336792885,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,diagnosed,specificity,0.6589219759,0.6388476087,0.679356811,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,diagnosed,specificity,0.5313846489,0.4931320467,0.5693845569,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,diagnosed,specificity,0.6737883119,0.6339519447,0.7143061053,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,diagnosed,specificity,0.6559137256,0.5856508636,0.7554703704,proportion,SMALL SAMPLE
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,hba1c_pos,specificity,0.5843611066,0.5611792481,0.609458668,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,hba1c_pos,specificity,0.7580088874,0.6996733024,0.8070545327,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,hba1c_pos,specificity,0.664431125,0.6130831849,0.7150494517,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,hba1c_pos,specificity,0.6516918386,0.6312447874,0.6737017014,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,hba1c_pos,specificity,0.5219339958,0.4865051121,0.5607361254,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,hba1c_pos,specificity,0.6770495464,0.6282577858,0.7175500628,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,hba1c_pos,specificity,0.6483559561,0.5731863385,0.7455458181,proportion,SMALL SAMPLE
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,diagnosed minus hba1c_pos,specificity_cost,0.007106024284,-0.003014182169,0.01811590128,percentage points (0 to 1 scale),OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,diagnosed minus hba1c_pos,specificity_cost,-0.001236487347,-0.01690910583,0.01481957077,percentage points (0 to 1 scale),OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,diagnosed minus hba1c_pos,specificity_cost,0.008735516019,-0.007686336579,0.02500080023,percentage points (0 to 1 scale),OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,diagnosed minus hba1c_pos,specificity_cost,0.007230137332,-0.00851204545,0.02061192877,percentage points (0 to 1 scale),OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,diagnosed minus hba1c_pos,specificity_cost,0.00945065313,-0.001089502362,0.02073953462,percentage points (0 to 1 scale),OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,diagnosed minus hba1c_pos,specificity_cost,-0.003261234411,-0.026491641,0.02145125668,percentage points (0 to 1 scale),OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,diagnosed minus hba1c_pos,specificity_cost,0.0075577695,-0.006136128434,0.02255860418,percentage points (0 to 1 scale),OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed,auc,0.7631450575,0.7366999302,0.7966162144,auc,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,hba1c_pos,auc,0.7647580856,0.7367949699,0.8043687593,auc,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed minus hba1c_pos,auc_difference,-0.001613028131,-0.01009989694,0.005415644629,auc,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed,false_positive_rate,0.3847274908,0.3556858275,0.4138210856,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,diagnosed,false_positive_rate,0.3073937224,0.2447834903,0.3790265608,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,diagnosed,false_positive_rate,0.3608106901,0.304625525,0.4167553321,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,diagnosed,false_positive_rate,0.3458879169,0.3228199548,0.3715230445,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,diagnosed,false_positive_rate,0.415893223,0.3720231672,0.4624604292,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,diagnosed,false_positive_rate,0.2643326492,0.2251807176,0.3046582543,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,diagnosed,false_positive_rate,0.4351957003,0.3475564135,0.4996687431,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,hba1c_pos,false_positive_rate,0.3983016708,0.3713602583,0.4232098309,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,hba1c_pos,false_positive_rate,0.3599190332,0.2936707485,0.4382819649,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,hba1c_pos,false_positive_rate,0.4514575309,0.4005268406,0.5068260929,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,hba1c_pos,false_positive_rate,0.4456415338,0.4247290485,0.4664317086,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,hba1c_pos,false_positive_rate,0.3965855685,0.3572327263,0.4363052695,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,hba1c_pos,false_positive_rate,0.3517003165,0.3007071501,0.3993952683,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other/Multiracial,hba1c_pos,false_positive_rate,0.4039043018,0.3032865794,0.4783734616,proportion,SMALL SAMPLE
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",All groups,diagnosed,npv,0.9681239542,0.9579438969,0.9800839988,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Mexican American,diagnosed,npv,0.965308359,0.94282307,0.9843584253,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Asian,diagnosed,npv,0.9812044295,0.9680933833,0.9966934079,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic Black,diagnosed,npv,0.9543474255,0.9331661587,0.9778513955,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Non-Hispanic White,diagnosed,npv,0.9677926321,0.9498551518,0.9877116693,proportion,OK
demographic_race_logistic,sensitivity,"Age, sex and race dummies (sensitivity)",Other Hispanic,diagnosed,npv,0.9766557964,0.9544577116,0.9983795609,proportion,OK
