model,label,group,respondents,positives,negatives,effective_n_positives,effective_n_negatives,small_n_warning,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high
demographic_race_logistic,diagnosed,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.9046019860740637,0.8409828644545314,0.984042181891015,0.6391893099389563,0.5832446678634156,0.6953744750345614,0.24658433740458063,0.20215248279038625,0.313274644802003,0.9812044295332747,0.9680933833482203,0.9966934078948433
demographic_race_logistic,diagnosed,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.9056860228654651,0.7722443415027135,0.9644140662266097,0.5648042997375976,0.5003312568699105,0.6524435864902112,0.17986011251070658,0.11364978092320399,0.2518318630812248,0.9827780907663561,0.9717683557836397,0.9928111986694617
demographic_race_logistic,diagnosed,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.7909773368434897,0.7196852097433444,0.8696431071269303,0.6152725091564626,0.5861789144494243,0.6443141725264034,0.16681541115672865,0.1517672601636064,0.18262345692142315,0.9681239542396805,0.9579438969005515,0.9800839987942401
demographic_race_logistic,hba1c_pos,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.7392582098365221,0.6442483005899918,0.8666769905466374,0.6034144315000642,0.5636947305298221,0.6427672737078505,0.143101794648744,0.12217777102784902,0.163569388938094,0.9628053190686761,0.9462289344453019,0.982729088861663
demographic_race_logistic,hba1c_pos,Non-Hispanic Black,1312,181,1131,140.92246384845114,874.0634309844907,False,0.870959799377889,0.7847391966235996,0.9531135658761403,0.5543584662469069,0.5335682914433216,0.5752709515416777,0.20243327627384566,0.16456840422596947,0.2328057516014352,0.970788632407657,0.9512534795966091,0.989998195014603
demographic_race_logistic,hba1c_pos,Mexican American,856,112,744,70.72659750652981,553.9303314309071,False,0.7763461460889671,0.632741726500167,0.9033207678089747,0.6400809668172245,0.5617180350567608,0.7063292514594346,0.17071621235974294,0.1295304294588751,0.21690137587016334,0.9677844964545368,0.9420398762672124,0.9874340851961496
demographic_race_logistic,hba1c_pos,Other Hispanic,546,74,472,53.36908782768276,344.264801469415,False,0.8673301381708045,0.7632162132589082,1.0,0.6482996834730811,0.6006047316628517,0.6992928498783253,0.17787768126080525,0.13180632463749964,0.2333155645364237,0.9823496942757004,0.9644885163854979,1.0
demographic_race_logistic,hba1c_pos,Non-Hispanic Asian,796,102,694,88.86867277325152,571.4651977961244,False,0.9586109929080877,0.9161266659807644,1.0,0.5485424691134312,0.4931739070790301,0.5994731594428092,0.21677390802256408,0.18159925657139653,0.2661276428534826,0.9902931652867745,0.9796811896243348,1.0
demographic_race_logistic,hba1c_pos,Other/Multiracial,341,39,302,16.26993925564318,113.24759054762565,True,0.8782275897805573,0.7589127406155485,0.9331320276791815,0.5960956981548436,0.5216265383821341,0.6967134206144642,0.1864833928883046,0.11157387321688637,0.27368664481183963,0.9790104662503776,0.9703079177419986,0.9864865234592645
demographic_race_logistic,hba1c_pos,All groups,5873,711,5162,271.01850179008557,2301.928055442479,False,0.7933276818889362,0.7309492022548818,0.8693442331213468,0.6016983292139892,0.5767901690677175,0.6286397417441181,0.16237410380387624,0.15085825188538468,0.1739020396573655,0.9677057946627828,0.9567574362427714,0.9807508154979725
extended_logistic,diagnosed,Non-Hispanic White,2022,203,1819,104.60038045158237,1056.792308849588,False,0.8612584271893375,0.7907149786211701,0.9582874912039634,0.6247874508072426,0.5954568448650559,0.6548698628440306,0.17055429491071644,0.14468401922676105,0.19676512339805546,0.9804988628671587,0.9676843011751286,0.9949141477254273
