model,label,group,bin,n,mean_predicted,observed_rate,weighted_n
extended_logistic,diagnosed,Non-Hispanic Asian,2,137,0.013225852823108297,0.018446094129937137,2818526.853707419
extended_logistic,diagnosed,Non-Hispanic Asian,3,157,0.031445143699009095,0.05359018735707757,2802838.8091118066
extended_logistic,diagnosed,Non-Hispanic Asian,4,165,0.07008681517083122,0.1328866805746399,2819937.578935962
extended_logistic,diagnosed,Non-Hispanic Asian,5,183,0.22846021614478626,0.3788074896971509,2808523.1578055397
extended_logistic,diagnosed,Other/Multiracial,1,84,0.00639906365268505,0.0,2560486.0520588583
extended_logistic,diagnosed,Other/Multiracial,2,77,0.019588414305838263,0.009413848671578597,2565816.1049351203
extended_logistic,diagnosed,Other/Multiracial,3,56,0.05625258342134846,0.025141156236749382,2525575.8525920836
extended_logistic,diagnosed,Other/Multiracial,4,42,0.11134973982053442,0.13230105026652997,2540093.4204594754
extended_logistic,diagnosed,Other/Multiracial,5,82,0.2813928843762818,0.45622068709024205,2562210.858323629
extended_logistic,diagnosed,All groups,1,617,0.004201646105295852,0.004222256522821368,25393655.345621496
extended_logistic,diagnosed,All groups,2,632,0.008145749860076594,0.011690479701599905,25317026.55072046
extended_logistic,diagnosed,All groups,3,557,0.01427509974426939,0.012754244706052926,25349920.954338763
extended_logistic,diagnosed,All groups,4,498,0.023707889330521238,0.02678613333987962,25499866.5155058
extended_logistic,diagnosed,All groups,5,509,0.038557586826877696,0.023630452632403112,25226607.791967064
extended_logistic,diagnosed,All groups,6,589,0.0644994154904787,0.05183357705873041,25409207.290647093
extended_logistic,diagnosed,All groups,7,502,0.09970192378493914,0.1237603245951545,25254510.837602086
extended_logistic,diagnosed,All groups,8,574,0.14822795260274851,0.14748009204821852,25361606.878500424
extended_logistic,diagnosed,All groups,9,689,0.2336594528051285,0.24436851849070199,25421064.693114042
extended_logistic,diagnosed,All groups,10,706,0.4398612173551542,0.42902093623976334,25324337.740596484
extended_logistic,hba1c_pos,Non-Hispanic White,1,435,0.007401304205144048,0.0057756465515159,31135822.892121844
extended_logistic,hba1c_pos,Non-Hispanic White,2,333,0.023487063447926206,0.010555464347640401,31090440.749793112
extended_logistic,hba1c_pos,Non-Hispanic White,3,330,0.056610966525217736,0.04563329512148735,31182500.13008877
extended_logistic,hba1c_pos,Non-Hispanic White,4,402,0.11718357643415807,0.1141128560034655,31026274.985707458
extended_logistic,hba1c_pos,Non-Hispanic White,5,522,0.28432160349289637,0.2348333449292297,31164587.749147743
extended_logistic,hba1c_pos,Non-Hispanic Black,1,249,0.006978626764952644,0.011081881360627632,5592492.450802779
extended_logistic,hba1c_pos,Non-Hispanic Black,2,203,0.0183477301927303,0.024953188043898757,5606391.359995969
extended_logistic,hba1c_pos,Non-Hispanic Black,3,231,0.04764652171549441,0.049155709747653535,5590283.542720851
extended_logistic,hba1c_pos,Non-Hispanic Black,4,283,0.1080153284067279,0.12320310625236983,5622402.307958096
extended_logistic,hba1c_pos,Non-Hispanic Black,5,346,0.2756718077473885,0.3665928432875025,5581307.893818934
extended_logistic,hba1c_pos,Mexican American,1,166,0.006795397698294821,0.01053547849574748,5010007.511524067
extended_logistic,hba1c_pos,Mexican American,2,142,0.01562508098585618,0.007161475173196794,5003270.224438481
extended_logistic,hba1c_pos,Mexican American,3,150,0.03459757243866074,0.039415090537870824,5014860.369418947
extended_logistic,hba1c_pos,Mexican American,4,165,0.07899177119878432,0.12893356507809495,4999246.842517774
extended_logistic,hba1c_pos,Mexican American,5,233,0.20578078795421093,0.2495052988003091,5004315.668052504
extended_logistic,hba1c_pos,Other Hispanic,1,93,0.006168491151774693,0.0,3624323.022259353
extended_logistic,hba1c_pos,Other Hispanic,2,86,0.015580418481339299,0.014184684485666732,3646238.7946052314
extended_logistic,hba1c_pos,Other Hispanic,3,85,0.032964173352148816,0.026493370218820946,3619614.5646319594
extended_logistic,hba1c_pos,Other Hispanic,4,118,0.07281054553280603,0.09013630972653651,3596663.231752521
extended_logistic,hba1c_pos,Other Hispanic,5,164,0.19722044951967485,0.27194043159285436,3636286.0567936487
extended_logistic,hba1c_pos,Non-Hispanic Asian,1,161,0.005660630710890269,0.0,2813389.726524695
